id,user_id,source_type,source_id,source_note,quota_total,quota_remaining,original_usd_value,gross_cny_basis,gross_cny_remaining,payment_fee_cny,cash_net_cny,downstream_cny_per_usd_snapshot,original_downstream_cash_amount_cny,created_at,updated_at
1,413,gift,0,usage_backfill,27111057,24745350,2711.105700,0.000000,0.000000,0.000000,0.000000,0.016667,0.000000,1777572506,1777575473
2,338,gift,0,direct_quota_credit,534,0,0.053400,0.000000,0.000000,0.000000,0.000000,0.016667,0.000000,1777573048,1777573048
3,338,gift,0,usage_backfill,14873041,14574064,1487.304100,0.000000,0.000000,0.000000,0.000000,0.016667,0.000000,1777573048,1777574497
4,413,gift,0,usage_backfill,761748,761748,76.174800,0.000000,0.000000,0.000000,0.000000,0.016667,0.000000,1777573175,1777573175
5,87,gift,0,usage_backfill,7890180,7848890,789.018000,0.000000,0.000000,0.000000,0.000000,0.016667,0.000000,1777573176,1777576402
6,338,gift,0,usage_backfill,966,966,0.096600,0.000000,0.000000,0.000000,0.000000,0.016667,0.000000,1777573462,1777573462
7,338,gift,0,usage_backfill,10282892,10282892,1028.289200,0.000000,0.000000,0.000000,0.000000,0.016667,0.000000,1777573973,1777573973
8,338,gift,0,usage_backfill,1407,1407,0.140700,0.000000,0.000000,0.000000,0.000000,0.016667,0.000000,1777573988,1777573988
9,413,gift,0,usage_backfill,1125001,1125001,112.500100,0.000000,0.000000,0.000000,0.000000,0.016667,0.000000,1777574106,1777574106
10,87,gift,0,usage_backfill,35445,35445,3.544500,0.000000,0.000000,0.000000,0.000000,0.016667,0.000000,1777574334,1777574334
11,356,gift,0,direct_quota_credit,143,36,0.014300,0.000000,0.000000,0.000000,0.000000,0.016667,0.000000,1777575029,1777575029
12,356,gift,0,usage_backfill,19223673,19223673,1922.367300,0.000000,0.000000,0.000000,0.000000,0.016667,0.000000,1777575029,1777575029
13,364,gift,0,usage_backfill,12195729,11966414,1219.572900,0.000000,0.000000,0.000000,0.000000,0.016667,0.000000,1777575653,1777576326
